id,pn,num,company_name,aog_status,create_time,PNR_ID
58621,398908-3,1.0,幸福航空有限责任公司,Confirm,2022-07-19 12:36:19,21-5X-35
58621,398908-3,1.0,幸福航空有限责任公司,Confirm,2022-07-19 12:36:19,21-6X-19
58729,67600014-1,1.0,奥凯航空有限公司,Done,2022-07-19 22:26:20,21-5X-11
58729,67600014-1,1.0,奥凯航空有限公司,Done,2022-07-19 22:26:20,21-5X-40
59053,624018-1,1.0,顺丰航空有限公司,Confirm,2022-07-21 14:47:38,21-6X-01
59257,622878-2,1.0,北京飞机维修工程有限公司天津分公司,Confirm,2022-07-22 15:11:18,21-5X-34
59257,622878-2,1.0,北京飞机维修工程有限公司天津分公司,Confirm,2022-07-22 15:11:18,21-6X-13
59798,398908-3,1.0,中国邮政航空有限责任公司,Confirm,2022-07-26 08:09:24,21-5X-35
59798,398908-3,1.0,中国邮政航空有限责任公司,Confirm,2022-07-26 08:09:24,21-6X-19
60070,1019439-2-001,1.0,深圳航空有限责任公司,Confirm,2022-07-27 10:00:27,21-3X-01
60611,21230-02AC,1.0,山东航空股份有限公司,Confirm,2022-07-29 21:27:49,21-3x-03
60705,622878-2,1.0,北京飞机维修工程有限公司重庆分公司,Done,2022-07-30 14:00:49,21-5X-34
60705,622878-2,1.0,北京飞机维修工程有限公司重庆分公司,Done,2022-07-30 14:00:49,21-6X-13
60878,21933-01AD,1.0,昆明航空有限公司,Confirm,2022-07-31 18:58:32,21-3x-02
61118,622814-5,1.0,江苏京东货运航空有限公司,Confirm,2022-08-02 01:40:29,21-6X-14
61221,622878-2,2.0,江苏京东货运航空有限公司,Confirm,2022-08-02 14:36:20,21-5X-34
61221,622878-2,2.0,江苏京东货运航空有限公司,Confirm,2022-08-02 14:36:20,21-6X-13
61695,398908-3,1.0,幸福航空有限责任公司,Confirm,2022-08-04 19:44:45,21-5X-35
61695,398908-3,1.0,幸福航空有限责任公司,Confirm,2022-08-04 19:44:45,21-6X-19
61813,398908-3,1.0,山东航空股份有限公司,Confirm,2022-08-05 14:06:20,21-5X-35
61813,398908-3,1.0,山东航空股份有限公司,Confirm,2022-08-05 14:06:20,21-6X-19
62133,622814-5,1.0,中国邮政航空有限责任公司,Confirm,2022-08-07 11:26:39,21-6X-14
62148,3202444-1,1.0,海航航空技术有限公司,Confirm,2022-08-07 12:46:54,21-6X-17
62620,398116-1-1,1.0,苏南瑞丽航空有限公司,Confirm,2022-08-10 01:08:17,21-6X-22
62908,622878-2,1.0,九元航空有限公司,Confirm,2022-08-11 14:26:38,21-5X-34
62908,622878-2,1.0,九元航空有限公司,Confirm,2022-08-11 14:26:38,21-6X-13
63178,572757-1,1.0,中州航空有限责任公司,Confirm,2022-08-12 21:52:02,21-5X-29
