"CSCOD","MENGE","EBELN","BSART","ADPRI","BEDAT","LIFNR","WAERS","ZZSTORT","MATNR","NETPR","NETWR"
MU,4,"18KX77062",POW,CRT,"20180124","0000001432",USD,B737NG,"572756-1",2201,8804
MU,2,"18GX78066",POW,CRT,"20180126","0000001432",USD,B737NG,"572756-1",2201,4402
MU,1,"18GX78198",POW,CRT,"20180228","0000001432",USD,B737NG,"572756-1",2201,2201
MU,2,"18YX77141",POW,EXP,"20180521","0000001143",USD,B737NG,"572756-1",385.51,771.02
MU,4,"18KX77499",POW,NOR,"20180628","0000001432",USD,B737NG,"572756-1",2201,8804
MU,2,"18GX73627",POW,EXP,"20180921","0000001432",USD,B737NG,"572756-1",2201,4402
MU,4,"18KX77763",POW,NOR,"20180925","0000001432",USD,B737NG,"572756-1",2201,8804
MU,2,"18MX73396",POW,CRT,"20181225","0000001432",USD,B737NG,"572756-1",2201,4402
MU,4,"1600027987",POW,EXP,"20190408","0000001432",USD,B737NG,"572756-1",2395,9580
MU,4,"1600031111",POW,CRT,"20190415","0000001432",USD,B737NG,"572756-1",2395,9580
MU,2,"1600031120",POW,EXP,"20190415","0000001432",USD,B737NG,"572756-1",2395,4790
MU,10,"1600053814",POW,CRT,"20190613","0000001432",USD,B737NG,"572756-1",2395,23950
MU,18,"1600057925",POW,CRT,"20190621","0000001432",USD,B737NG,"572756-1",2395,43110
MU,10,"1600081014",POW,CRT,"20190826","0000001432",USD,B737NG,"572756-1",2395,23950
MU,5,"1600089857",POW,EXP,"20190920","0000001432",USD,B737NG,"572756-1",2395,11975
MU,2,"12GX78023",POW,NOR,"20120112","0000003135",USD,B737NG,"572757-1",2030,4060
MU,1,"17KX77611",POW,CRT,"20170707","0000003135",USD,B737NG,"572757-1",2578.22,2578.22
CA,2,"4010036114",POW,CRT,"20170811",OS70210001,USD, ,"572757-1",2578.22,5156.44
MU,1,"17KX77745",POW,CRT,"20170906","0000008027",USD,B737NG,"572757-1",2578.22,2578.22
MU,2,"17MX73283",POW,CRT,"20170927","0000008027",USD,B737NG,"572757-1",2578.22,5156.44
MU,2,"17GX73456",POW,CRT,"20171102","0000008027",USD,B737NG,"572757-1",2578.22,5156.44
CA,16,"4010037561",POW,CRT,"20171214",OS70210001,USD, ,"572757-1",2578.22,41251.52
