CSCOD,MENGE,EBELN,BSART,ADPRI,BEDAT,LIFNR,WAERS,ZZSTORT,MATNR,NETPR,NETWR,ZZJRRQ,ZZGHRQ,ZXLTAT
MU,1,4100009642,HQY,AOG,20180519,1000000141,RMB,B737NG,B42365-1,1,1,20180519,20180531,12.0
MU,1,4100009777,HQY,AOG,20180606,1000000141,RMB,B737NG,822-1710-002,1,1,20180608,20180702,24.0
MU,1,4100009778,HQY,AOG,20180606,1000000141,RMB,B737NG,622-5135-802,1,1,20180608,20180611,3.0
MU,1,4100009718,HQY,AOG,20180529,1000000575,RMB,B737NG,72303219-1,8724.56,8724.56,20180605,20180925,112.0
MU,1,4100009721,HQY,NOR,20180529,1000000155,RMB,B737NG,4082730-901,59627.62,59627.62,20180530,20180711,42.0
MU,1,4100009652,HQY,NOR,20180521,1000000155,RMB,B737NG,902864,34722.28,34722.28,20180522,20180717,56.0
MU,1,4100009717,HQY,AOG,20180529,1000000141,RMB,B737NG,176200-01-01,1,1,20180531,20180628,28.0
MU,1,4100009727,HQY,AOG,20180529,1000000141,RMB,B737NG,902864,1,1,20180622,20180731,39.0
MU,1,4100009785,HQY,AOG,20180607,1000000155,RMB,B737NG,822-1567-102,93852.08,93852.08,20180608,20180622,14.0
MU,1,4100010101,HQY,AOG,20180730,1000000141,RMB,B737NG,285A1600-6,1,1,20180803,20180824,21.0
MU,1,4100010102,HQY,AOG,20180730,1000000141,RMB,B737NG,822-1710-002,1,1,20180803,20181112,101.0
MU,1,4100009958,HQY,AOG,20180706,1000000155,RMB,B737NG,67600014-1,21931.2,21931.2,20180710,20180727,17.0
MU,1,4100010032,HQY,AOG,20180718,1000000575,RMB,B737NG,HG2050BC02,18592.5,18592.5,20180718,20180720,2.0
MU,1,4100010046,HQY,AOG,20180721,1000000155,RMB,B737NG,2061-15-1,16945.49,16945.49,20180721,20180829,39.0
MU,1,4100010112,HQY,AOG,20180801,1000000575,RMB,B737NG,3522W000-001,54802.51,54802.51,20180802,20181012,71.0
MU,1,4100010056,HQY,AOG,20180723,1000000575,RMB,B737NG,72303219-1,12036.29,12036.29,20180723,20181207,137.0
MU,1,4100009883,HQY,AOG,20180625,1000000155,RMB,B737NG,2206400-2,50127.24,50127.24,20180625,20180705,10.0
MU,1,4100009939,HQY,AOG,20180703,1000000575,RMB,B737NG,2612312-1,16951.22,16951.22,20180704,20180717,13.0
MU,1,4100010002,HQY,CRT,20180713,1000000575,RMB,B737NG,65-52810-64,3342.78,3342.78,20180716,20180717,1.0
MU,1,4100010010,HQY,AOG,20180714,1000000155,RMB,B737NG,2651-278-21,8119.68,8119.68,20180715,20180802,18.0
MU,1,4100010008,HQY,CRT,20180714,1000000155,RMB,B737NG,645242-1,30241.88,30241.88,20180714,20180921,69.0
MU,1,4100010013,HQY,AOG,20180715,1000000575,RMB,B737NG,273A1401-2,3119.02,3119.02,20180717,20180720,3.0
MU,1,4100010100,HQY,AOG,20180730,1000000575,RMB,B737NG,3522W000-001,603.45,603.45,20180731,20181012,73.0
MU,1,4100010232,HQY,AOG,20180829,1000000575,RMB,B737NG,606802-2,12941.96,12941.96,20180829,20180908,10.0
MU,1,18GL88606,HQY,CRT,20180822,0000003381,USD,B737NG,174101-02-01,101,101,20180911,20190714,306.0
MU,1,4100010162,HQY,AOG,20180813,1000000575,RMB,B737NG,RDAV2132,2023.29,2023.29,20180814,20180830,16.0
MU,1,4100010163,HQY,AOG,20180813,1000000575,RMB,B737NG,3215618-5,19408.32,19408.32,20180814,20180823,9.0
MU,1,4100010165,HQY,AOG,20180813,1000000155,RMB,B737NG,3289630-2,16720.1,16720.1,20180820,20181203,105.0
MU,1,4100010215,HQY,AOG,20180824,1000000141,RMB,B737NG,4081600-930,1,1,20180901,20180903,2.0
MU,1,4100010214,HQY,NOR,20180824,1000000141,RMB,B737NG,69000940-102,1,1,20180901,20180903,2.0
MU,1,4100010126,HQY,NOR,20180804,1000000155,RMB,B737NG,3290206-1,24237.42,24237.42,20180806,20181112,98.0
MU,1,4100010175,HQY,AOG,20180815,1000000004,RMB,B737NG,162A1100-5,141592.92,141592.92,20180827,20190319,204.0
MU,1,4100010177,HQY,AOG,20180815,1000000004,RMB,B737NG,161A1100-40,141592.92,141592.92,20180827,20190319,204.0
